x,y,z
614185.148272,4057661.46006,-74.2895390575
613531.781868,4058455.63587,-75.8919099957
613585.148272,4058397.25763,-75.6611730253
613951.654822,4057979.41556,-74.9538832484
606985.148272,4063694.05934,-67.0662937371
607285.148272,4063694.05934,-74.1321024322
607285.148272,4063932.1695,-72.0798173574
606985.148272,4063932.1695,-64.5250558393
611785.148272,4057979.41556,-53.5055389974
612085.148272,4057979.41556,-55.4016994309
612085.148272,4058217.52571,-57.3085050946
611785.148272,4058217.52571,-53.4852815823
611185.148272,4057979.41556,-42.2880418682
611485.148272,4057979.41556,-46.7597054983
611485.148272,4058217.52571,-46.7083262928
611185.148272,4058217.52571,-42.2673312438
609985.148272,4058931.85619,-42.3888230305
610285.148272,4058931.85619,-40.7055897848
610285.148272,4059169.96635,-45.3759953629
609985.148272,4059169.96635,-46.7863713541
610585.148272,4062265.3984,-44.2108244165
610885.148272,4062265.3984,-43.5225128597
610885.148272,4062503.50855,-41.3746001157
610585.148272,4062503.50855,-42.4670211611
609385.148272,4059408.0765,-41.8581103138
609685.148272,4059408.0765,-48.3369731661
609685.148272,4059646.18666,-50.3270057996
609385.148272,4059646.18666,-39.4635654776
608185.148272,4061312.95777,-52.896801457
608485.148272,4061312.95777,-49.738320115
608485.148272,4061551.06792,-52.2248760443
608185.148272,4061551.06792,-55.1336353544
610885.148272,4062741.61871,-40.7527913826
611185.148272,4062741.61871,-41.6075842828
611185.148272,4062979.72887,-40.8591675665
610885.148272,4062979.72887,-40.3414523148
609085.148272,4059884.29682,-40.3843218739
609385.148272,4059884.29682,-40.1523157489
609385.148272,4060122.40698,-45.876616265
609085.148272,4060122.40698,-48.3561868126
606685.148272,4063694.05934,-65.5161837181
612085.148272,4057503.19524,-44.3208130932
612385.148272,4057503.19524,-44.0282695187
612385.148272,4057741.3054,-49.4855229981
612085.148272,4057741.3054,-49.7095782736
608185.148272,4062979.72887,-68.4982565575
608485.148272,4062979.72887,-63.7336756994
608485.148272,4063217.83903,-64.8322082985
608185.148272,4063217.83903,-69.8342726025
608785.148272,4060122.40698,-49.7324927952
