x,y,z
607834.786295,4064887.7469,-63.8133766848
606707.778386,4061811.25778,-59.1193117709
606685.183565,4062027.31332,-55.3240509069
611185.103579,4063217.81413,-25.6881819745
606385.171339,4061789.19187,-59.0602780489
606385.166947,4062027.30393,-56.6506531282
606385.158736,4061312.96168,-56.2021230702
606685.164681,4061312.96248,-53.4700485888
605931.68143,4061196.65557,-55.6015024568
605967.179617,4061348.1145,-56.8185127391
605958.940034,4061312.95895,-56.7748100954
605967.437509,4061349.21484,-56.8198805967
605971.845431,4061368.02197,-56.8432601563
605971.377707,4061366.02635,-56.840779357
605974.481755,4061379.27029,-56.857243186
605976.151863,4061386.39608,-56.8661014176
605976.201462,4061386.6077,-56.8663644872
605976.204681,4061386.62144,-56.8663815633
605979.105541,4061398.99845,-56.8817676896
606023.931894,4061590.25755,-57.1195260899
606025.789218,4061598.18213,-57.1293773154
606025.790426,4061598.18729,-57.1293837206
606026.578681,4061601.55051,-57.1512891601
606066.8236,4061773.26216,-58.2696872168
606068.60318,4061780.85504,-58.3191413849
606070.555647,4061789.18556,-58.3734000493
606096.777734,4061901.06647,-57.29845643
606097.75579,4061905.23951,-57.2583622017
606099.143924,4061911.16221,-57.2014572772
606099.848117,4061914.16677,-57.1729025558
606099.823515,4061914.0618,-57.1735982369
606099.171539,4061911.28003,-57.2003252327
606099.866761,4061914.24632,-57.1723753341
606102.457033,4061925.29814,-57.0991276724
606102.524331,4061925.58528,-57.0972246112
606103.595687,4061930.1564,-57.0669288447
611785.148272,4059884.29682,-49.8082479839
612085.148272,4059884.29682,-60.7499610583
611785.148272,4060122.40698,-51.4971000807
611785.148272,4057979.41556,-21.6301467688
612085.148272,4057979.41556,-22.6156692232
612085.148272,4058217.52571,-30.3224763107
611785.148272,4058217.52571,-27.1868132101
610585.148272,4061789.17808,-40.1474030823
610885.148272,4061789.17808,-43.7950191822
610885.148272,4062027.28824,-39.3683695711
610585.148272,4062027.28824,-36.9544289467
608185.148272,4060836.73745,-40.8531419488
608485.148272,4060836.73745,-39.56296239
608485.148272,4061074.84761,-40.2534786782
608185.148272,4061074.84761,-41.5988586627
611185.148272,4057979.41556,-19.9144566067
