x,y,z
602115.968779,4076929.60355,-61.4409985633
601360.323384,4076929.45134,-64.7150613869
601738.153423,4077464.57356,-47.9708098855
601737.850509,4076393.71007,-104.423537612
602493.545108,4076394.87792,-66.4110436777
602872.042315,4076930.27698,-44.3233272271
602494.09652,4077464.84894,-38.048879569
599848.44686,4076930.37548,-58.6197572846
599092.280846,4076930.34051,-61.2173103016
599470.370013,4077464.96302,-52.4598547164
599470.381855,4076395.78306,-66.1481726878
600226.405786,4076395.93906,-66.7190138769
600604.413879,4076930.11227,-66.9568508061
600226.42803,4077464.84548,-53.2308348088
597958.107976,4077464.69871,-71.3284714234
597201.902315,4077464.32177,-90.4725619636
597580.13058,4077999.2195,-70.7527676923
597579.840146,4076929.76402,-90.8946754205
598336.099771,4076930.17906,-71.9082507817
598714.262722,4077464.8986,-58.3045538715
598336.26364,4077999.4302,-56.244695661
595689.545336,4077463.23052,-137.491440685
594933.46751,4077462.70122,-161.098528567
595311.678353,4077997.96825,-133.817344423
595311.296773,4076927.78496,-167.116814365
596067.383146,4076928.42255,-141.564983889
596445.697658,4077463.80189,-113.351709264
596067.801758,4077998.44262,-111.345400477
594177.459791,4077462.27168,-183.163806096
594555.303454,4076927.29718,-190.639774145
594555.609769,4077997.52057,-155.851901479
609298.141459,4077465.79816,65.6167285245
608164.12793,4078000.30447,53.7945142973
608542.109807,4077465.71177,51.7377276715
607786.084091,4077465.62376,38.4187492076
608164.065317,4076931.03543,36.7530049751
606318.314866,4076414.06476,-1.91171879318
607030.000189,4076396.25685,8.66313476913
606726.267358,4075894.12215,-3.40113252325
606652.02868,4076930.82634,11.0965240802
605897.211298,4076916.3215,0.219995893313
605518.020383,4076396.11466,-11.7135513155
605881.204779,4075820.97393,-15.5381366309
604006.103612,4077465.08619,-18.2953844933
603250.122326,4077465.02304,-26.7430571016
603628.146278,4077999.70367,-10.6980939023
603628.112689,4076930.34976,-35.7467523694
604384.036003,4076930.4611,-26.2602577297
604797.599577,4077515.43363,-6.23529661376
604394.57348,4078026.55005,-1.04197634624
609298.014067,4075327.34117,36.4497543219
609297.954758,4073188.89458,22.1110840096
609297.970666,4071050.72045,32.2077456316
609297.986902,4069981.63295,36.038344818
608919.985546,4069447.09468,31.9454134993
609297.994336,4068912.5403,39.6848884425
607416.839856,4072659.16356,2.54587023657
607785.948181,4072119.84089,4.3627938688
607096.850273,4072119.86082,-3.6659500754
608163.953801,4072654.35869,6.41769397119
607781.355582,4073208.475,4.35836815601
606651.669154,4072654.66527,-3.17930855486
607029.399878,4073190.92074,-28.2761228484
607091.556498,4071050.77459,-5.37762586572
607785.954225,4071050.77979,8.49727651898
607336.995587,4070550.4322,2.83042486315
607333.572968,4071581.70904,3.84857616663
606273.996931,4071050.79228,-15.6057854788
606651.958457,4071585.31403,-10.1344538522
606732.69765,4070491.79077,-6.57676675439
606339.554016,4068912.61259,-4.16751589629
607029.989846,4068912.60811,5.85658117322
606622.860428,4068394.31808,0.0452383559654
606604.731002,4069443.0357,0.661833318867
605435.466755,4068951.86927,-11.8596923776
605896.017811,4069447.16002,-6.11680850743
605896.024374,4068378.07942,-6.89886753044
608541.984242,4068912.55608,28.01158174
608919.991586,4068378.0038,35.3990751847
608163.985682,4068378.01869,23.9422674862
608541.991536,4067843.4703,31.0395419612
607450.197613,4074817.09692,-3.00335813863
608163.934989,4074792.62494,11.6913456125
607809.500445,4074267.71969,-0.672454182205
607785.956611,4075327.13666,10.4481876607
607106.02437,4075367.06005,-4.83872211119
606652.03067,4074792.52195,-19.8152053154
607078.85467,4074320.97393,-15.5381366264
605895.936317,4074792.63069,-23.2401376617
605140.006354,4074792.67192,-32.2804990523
605518.012107,4075326.97869,-22.6258565587
605493.729815,4074320.97393,-27.2798022249
606274.121296,4074257.42169,-19.8085526744
606273.962443,4075327.04752,-14.1129656533
606271.304515,4073193.63497,-69.598747812
605616.857513,4073227.47226,-137.308943128
606008.569511,4073720.97393,-49.3377571924
605883.662351,4072546.46716,-30.1774142883
606748.586774,4073720.97393,-94.4435097421
604352.340399,4073720.97393,-49.7620406748
603704.439952,4073686.14152,-111.780441456
603979.054952,4074320.97393,-105.557572882
604002.593015,4073182.6963,-106.674646701
604766.637341,4073186.40174,-89.4012395181
605139.95412,4073717.5442,-80.7157876771
604761.448172,4074257.91341,-33.7365570668
603622.485764,4072644.8473,-222.507933074
603070.242446,4072653.64697,-290.962649348
603246.208544,4073175.47396,-187.814540442
603252.320024,4072139.33408,-208.201724093
604005.755042,4072129.27998,-230.883067974
604383.458399,4072642.7712,-109.747266761
602609.862798,4073331.64673,-226.008295225
602121.487627,4073187.32797,-311.539563289
602179.273834,4073720.97393,-251.883225397
602503.908281,4072740.04326,-307.059604578
602118.066442,4072579.42857,-242.276612606
602872.239626,4072920.80899,-266.803208261
602848.813262,4073720.97393,-186.243134408
604383.380232,4075861.3605,-44.1400384341
603628.534628,4075859.75933,-66.8339266351
604006.094773,4076395.58042,-49.186547458
604026.021615,4075220.97393,-102.426462058
604761.755069,4075326.94451,-27.550308378
605139.982787,4075861.56313,-19.6994865658
604761.922829,4076396.03197,-26.8278654392
603628.203187,4074790.70137,-130.590035611
602870.986799,4074787.80522,-122.573530398
603250.56465,4075323.48572,-82.9167685074
603309.780013,4074320.97393,-144.69645821
604383.012879,4074790.53215,-59.3366235882
